,Keys,GAP,DPMD,SNAP,MTP,NNP,DPPT
43,spl-c44|hex-c12,9.017990357562637,12.697751952925358,8.898531282148111,2.7256498067353365,12.039424664433495,13.137769966476515
44,spl-c44|hex-c44,2.9681609185281066,6.458257615706617,4.733857200539718,5.673803409855453,7.378490868344876,4.680520536416685
45,spl-c44|hex-bulkmodulus,5.776268209502667,3.15228249743244,6.256686077150785,1.6593996140090692,7.060608752072038,5.75125626806908
46,spl-c44|super-c11,3.836919097745664,24.800431675436737,8.530915237569966,6.128174450006426,10.630242685419928,9.610157586044606
47,spl-c44|super-c12,4.424820062258602,26.604795334073383,8.160290275635045,4.6206686260355845,6.751459128571116,8.49235398846656
48,spl-c44|super-c44,7.942239952870125,29.643142880473388,9.634918264281849,6.76560687247705,8.656273074631425,8.021432963076846
49,spl-c44|super-bulkmodulus,5.10329497589983,17.6558370841927,7.285200979775051,2.747271865466032,9.51799117490767,10.540673285623807
50,spl-c44|vac-c11,5.576455669609195,6.318464155685973,8.527105804546466,6.39696392510472,8.614156305889148,8.829313782708324
51,spl-c44|vac-c12,6.9980387244020985,18.59857081443289,3.143676844147554,7.344808742458658,9.31654610594039,13.818027517254636
52,spl-c44|vac-c44,4.568342417927184,11.343062029132051,4.888072369284136,3.730389824596184,2.684254999043881,5.5162139700420045
53,spl-c44|vac-bulkmodulus,10.936219530923935,16.478930206735296,14.932454770860264,10.82244619649626,15.935839820702292,15.59966705512789
54,spl-bulkmodulus|tet-c11,17.882554990117548,15.97072380005731,14.599889603112342,15.740533499926183,15.2381533510379,17.230618697876306
55,spl-bulkmodulus|tet-c12,7.725738014801776,5.938687353418514,2.3994845740781963,6.508567647119221,6.705197888630499,5.475869898393679
56,spl-bulkmodulus|tet-c44,8.18147563614451,9.462006774265648,7.212775594376525,7.21586010003679,5.116693351634634,5.416155715785899
57,spl-bulkmodulus|tet-bulkmodulus,6.66023457709248,8.28565064338929,8.071170447965963,8.511614310325754,7.738457379507102,9.186501627012037
58,spl-bulkmodulus|hex-c11,9.646475926602724,10.650494795488134,10.697180695934078,8.620593553052077,2.5338787914743266,12.939431331737577
59,spl-bulkmodulus|hex-c12,10.440843128558974,13.996649222075783,11.646968849300071,6.082820761894357,10.99170337713524,3.835031562028184
60,spl-bulkmodulus|hex-c44,7.584812754362781,8.054353046518965,9.166220893431992,7.75664335864216,11.232525828476792,12.262874104830589
61,spl-bulkmodulus|hex-bulkmodulus,4.983936449118767,5.680206571535261,5.773291138490071,1.770098270255024,4.675501543912567,6.310859817315949
62,spl-bulkmodulus|super-c11,7.228945020390594,20.56900009194116,10.929702407127843,8.714488799280804,7.037299996820019,13.86793792521176
63,spl-bulkmodulus|super-c12,6.545326750285663,27.50128386091269,9.949699323653975,6.828680065630916,5.973523128316286,10.1064421801755
