,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
60,NNP,175-3,Org,-3.171368669982985,-1.6449441899301147,-0.58727100109574,-0.281094930039582
61,NNP,5-1,Org,-2.6075926926617985,-6.259395969036117,-1.3372438433546765,-1.122013679732815
62,NNP,111-3,Org,-1.59026572569512,-0.6795933292257689,-4.149631322700216,0.2231175577904492
63,NNP,108-1,Org,0.3468793059567777,-4.961079927487444,-3.2217548967638168,-3.270048696894372
64,NNP,15-2,Org,-1.1875358069779096,-1.7654313007053777,-4.087805787150659,0.4318470112812769
65,NNP,11-2,Org,-1.034905128796804,-3.3160145989035725,-2.667301002957969,-2.4453461942873003
66,NNP,112-2,Org,-1.912286628843145,-2.3941442345383366,-3.37100398285869,0.3411406508363141
67,NNP,55-1,Org,0.2590972269995796,-0.0952613769221036,-1.2059756164435504,-5.374621707525482
68,NNP,125-3,Org,-0.1978605265478753,-6.50729615205292,0.1145175180542474,-0.2415801693982782
69,NNP,159-2,Org,-2.558982547705142,-0.4480807338911912,-2.9394614891256,0.3899359854083253
70,NNP,96-1,Org,-1.3258824780098848,0.1894911581308076,0.6965792256369754,-2.608333391930955
71,NNP,131-3,Org,-2.965886331786363,-3.6785668018468174,-0.4725721834264422,-0.2809808488821625
72,NNP,150-3,Org,-2.6243159235164124,-0.5077091511969317,-0.6986264403993346,-1.5259506717570932
73,NNP,56-3,Org,-4.104275195041571,-0.7522889881598841,-0.6956665677581366,-1.0596468516560569
74,NNP,109-3,Org,-3.2040670452090114,0.0585332806301963,-1.2112138159195038,0.0014882151930396
75,NNP,139-3,Int2,-4.8982534554029415,-0.4714423693329043,-3.624916354200333,0.7912495545535949
76,NNP,171-3,Int2,-3.090283759288624,-1.3324002328325528,-0.8737112480770108,0.4725742647746222
77,NNP,180-1,Int2,-1.521915962228107,-3.004510144774804,-1.7095916002541391,0.5162624054146137
78,NNP,170-3,Int2,-1.716860572877582,-5.01270104576374,-2.3779277868856874,0.5743819246426416
79,NNP,34-3,VacEnh,-3.4600139135753905,-1.1416617136986544,-0.4868035170423204,0.4961310260086237
80,NNP,175-2,VacEnh,-2.956310800286533,-0.789827893147159,-1.2847373356909992,0.6189108617441239
81,NNP,153-3,VacEnh,-0.7651751191404388,-0.2427682498778392,-3.430211846223587,-2.099564840208335
82,NNP,2-1,VacEnh,-2.5392151105452445,-0.9918546696799584,-3.2894554987596147,0.3937025263181573
83,NNP,123-2,VacEnh,-3.0169665935416576,-0.4027448449643748,-1.2998995503961734,0.6622195033783512
84,NNP,12-3,VacEnh,-1.6376215993030956,-0.8787917157550309,0.739906248358268,-1.210729112434247
85,NNP,6-3,VacEnh,-2.977694188100564,-0.3104610756810621,-1.6075753438886649,-2.222026086348892
86,NNP,102-2,VacEnh,-1.4148534358552096,-0.5399259831877455,-1.2621821279931156,-2.5146305146968886
87,DPMD,167-1,Int4,-0.3243916760947052,-2.4983295819697826,-0.5191436609770936,-0.4105349257384132
88,DPMD,196-1,Int4,0.0242934968387498,-0.3502875739957671,-2.2098316265655207,-2.00613107871536
89,DPMD,186-1,Int4,-0.672599450226803,-3.9211946677679896,-0.1704855356039845,-0.9196850305731716
90,DPMD,298-1,Int4,-1.7100547301623217,-3.77190829190833,0.3590768281114897,0.628083060259822
91,DPMD,113-1,Int4,-6.6557945308990885,-1.5504648291742409,0.1806536989763189,-2.458803809055902
92,DPMD,232-1,Int4,-0.1028377559556774,-1.5559711272435286,-1.653520439220455,-4.35424006439982
93,DPMD,223-1,Int4,0.3508078340497081,-0.2535918879382082,-2.070436505414757,-3.375055955779327
94,DPMD,234-1,Org,-3.720038422785473,-1.577710809451104,-1.833991190291529,-4.181239308388392
95,DPMD,189-1,Org,-0.1126391043519314,0.4367231391100406,-4.177121057755674,-0.8513835777680708
96,DPMD,198-1,Org,-1.76899262466891,-3.399434853831068,0.0216484458853719,-3.265757157082656
97,DPMD,156-1,Org,-0.4106007811004463,-3.070716746701532,-0.9758186853561548,0.3353991890007414
98,DPMD,122-1,Org,1.0530669120435592,0.8459479320391909,-2.9239691507691634,-2.667427599466419
99,DPMD,174-1,Org,0.0571186195985243,-2.2563067765497347,-4.581827273647497,0.2810973373991497
100,DPMD,186-1,Org,-0.7533071413407819,0.0277843436100193,-2.680527835279831,-0.2637774727743026
101,DPMD,151-1,Org,0.4826091876022444,-1.6170321219374708,-1.180847913804833,-0.7531449430913254
102,DPMD,283-1,Org,-0.7127441159910465,-0.3590263320946929,-6.563349543971369,0.0314140900982544
103,DPMD,155-1,Org,-1.5643735223918354,-2.830468655692897,-0.8561482009756861,0.441605113214542
104,DPMD,153-1,Org,-0.171060921256923,-4.812174383427231,-0.4052011404665422,0.0286149313493925
105,DPMD,87-1,IntEnh,-0.3060411182984205,-3.61519885258428,0.2119517141418631,-0.967460022094642
106,DPMD,11-1,IntEnh,0.9553399963158056,0.2989091846437047,-3.128575845803039,-1.41597905294309
107,DPMD,93-1,IntEnh,-6.69673849194379,0.59335705612365,0.8656234531665835,-0.4853377637498827
108,DPMD,88-1,IntEnh,-0.5017112477731482,0.2352216736841391,0.3477967347594592,-5.033201785753508
109,DPMD,16-1,IntEnh,1.0475994122353336,0.5106884295108725,-2.640319045055892,-1.650575047425203
110,DPMD,42-1,IntEnh,1.0792535056216093,0.4275268765364826,-2.279434441484036,-2.8632567232593016
111,DPMD,98-1,IntEnh,-4.803070727351335,-0.964256428857856,0.0585023361323748,-1.6691596039074394
112,DPMD,211-1,IntEnh,-1.7711970140045252,-3.3335644950092176,-0.487735340953469,-1.2213127552683765
113,DPMD,60-1,IntEnh,1.1999430629188406,0.3844601281564427,-2.133677500193264,-2.589468333407534
114,DPMD,40-1,IntEnh,1.2975792550891287,0.5495900914658072,-1.8546581871610603,-7.1487552738024815
115,DPMD,34-1,IntEnh,1.5671248395824586,0.6089873953002336,-2.2412700968356907,-2.96419461930946
116,DPMD,128-1,Int2,0.3271735227836125,0.7004302894367102,-3.073698889228635,-2.022201925083375
117,DPMD,198-1,Int2,-2.423925345028696,-2.311962479123026,-0.2210633841609207,-1.3306749597166074
118,DPMD,203-1,Int2,-2.32757500919244,-2.8847756543671577,0.1929251115694317,0.5494809308060219
119,DPMD,135-1,Int2,-0.2781388584414367,0.485461961608029,-0.4029191451917181,-6.983228465047929
120,DPMD,42-1,Int2,0.7744145345241532,0.6738346985114139,-0.7046705658728833,-5.544286351510163
121,DPMD,18-1,Int2,0.7551280857828906,-0.3279711489356774,-2.293272172263456,-1.5304525935440785
122,DPMD,182-1,Int2,-0.2624621565667527,-3.5422795687637643,-0.9535901929376732,0.8237693399064426
123,DPMD,137-1,Int2,-3.5031455963077427,-2.492495220158818,0.0040813573171034,-0.5471260102395006
124,DPMD,131-1,Int2,0.1698547325515345,-0.0476403919924408,-4.909442980409606,-1.3146224307513186
125,DPMD,134-1,Int2,-0.4922407138933166,0.4425787749433421,-2.2945719181283333,-0.9455347493221714
126,DPMD,196-1,Int2,0.3117763516863486,-1.7059050269287497,-1.4126449340435687,-0.2138642334244235
127,DPMD,247-1,Int2,-0.1657664754685257,0.6872382011331463,-2.377239961257444,-1.0621694032978315
128,DPMD,256-1,VacEnh,-3.318104461411935,0.0399407662885967,-2.281459929369664,-2.4162050198982663
129,DPMD,245-1,VacEnh,-0.0886451678839316,0.1211572360638846,-3.7926200249358426,-0.6750636715814076
130,DPMD,150-1,VacEnh,0.815824238745289,0.9190896112601076,-3.2358158662067846,-1.9248337769099608
131,DPMD,198-1,VacEnh,0.5963771821518922,0.6547347112043647,-3.2214361789912407,-1.5610820574668842
132,DPMD,239-1,VacEnh,-2.29760766326952,0.0575876323073328,-2.5401593525077475,0.2134770468854236
133,DPMD,225-1,VacEnh,0.1964659204594392,-0.4049736434800772,-2.1834670116759574,-0.38284506566299
134,DPMD,116-1,VacEnh,-1.571359994830082,-0.8830079422902939,-4.761319506299927,0.3867328780146977
135,DPMD,241-1,VacEnh,-1.5320679323001225,0.1135271753149112,-2.9580231509399373,-0.2706971277247074
136,DPMD,298-1,VacEnh,-2.8565808425559154,-1.3490592824650374,-2.2120184825511022,0.5710814703941953
137,DPMD,30-1,VacEnh,1.1033599966231955,0.3443627769319138,-0.6788067267688436,-5.5270998100382815
138,DPMD,90-1,VacEnh,0.2376156665162107,-0.4442434028400233,-2.49933634772464,-1.1627835203758283
139,DPMD,214-1,VacEnh,-0.2746288814074444,-1.3070393028947764,-3.947554902071946,-0.3075502741435356
140,DPMD,197-1,VacEnh,-0.8657657081511022,-2.605877306913877,-0.9303508707950352,-0.1227358960223392
141,DPMD,78-1,VacEnh,0.6696949703909685,-1.722770592572264,-0.7340039422660312,-1.0655256970193991
142,DPPT,158-1,Org,-0.4291160427093697,0.3131333279446311,-1.1599217815439615,-0.3913117306666624
143,DPPT,87-1,Org,-2.4066626296870903,0.8681723027911548,-0.2178179701027383,-0.2856952409740995
144,DPPT,136-1,Org,-1.0198809388925567,0.6132152752422989,-1.0727810632055998,-0.1353602744539322
145,DPPT,206-1,Org,-0.9422357080988236,0.6581372900918186,-0.7571307411338172,-0.2386526045980741
146,DPPT,198-1,Org,0.6831340092376775,-1.751728032515365,0.0333985563945509,-0.864539676430411
147,DPPT,209-1,Org,0.1963294913302051,-0.7292365895955041,-1.5200794163845166,-0.789113370316295
148,DPPT,93-1,Org,-0.520168859650591,-0.0476714720151653,-3.394669200931354,0.6364001496908719
149,DPPT,257-1,Org,0.5304118494800871,-1.9506317990589608,-0.1618592495622605,-0.3022940882575341
150,DPPT,86-1,Org,-0.6361830478662113,0.3606202613758399,-7.252106287321211,-0.0496413914925684
151,DPPT,73-1,Org,-2.247676226505023,0.006592061806459,-1.2338893411495602,0.0405133846331995
152,DPPT,42-1,Org,-0.5139831889928677,1.303742885487636,1.0099845543759496,-2.319136729138257
153,DPPT,98-1,Org,-1.798995381991192,0.7937196253015021,-0.3316550173726656,-0.448334827259602
154,DPPT,77-1,Org,-0.0926121517828386,-2.345947338837401,-0.588418699548488,0.4073331630690543
155,DPPT,76-1,Org,-0.9804448429162104,0.4206096262327766,-1.4966824536477032,-0.1484744704629321
156,DPPT,183-1,Org,-0.049872215934262,-0.4065686076973586,-2.221192840052861,-0.1574222773644809
157,DPPT,195-1,Org,-0.9209739154495644,0.3172203807355392,-1.6196905384154432,-0.1293506789950275
158,DPPT,52-1,Org,-3.2898680579336244,1.3652106286948338,0.5968303210862564,-0.4955002928750302
159,DPPT,262-1,Org,0.1546332642475687,-4.468547108729036,-0.3235210484024353,0.5344680175494495
160,DPPT,197-1,Org,-0.2919202871072958,0.0105428665892448,-3.383866060006648,-1.288189548059923
161,DPPT,75-1,Org,-0.6106531920764108,0.1674531007857559,-2.4243680680180586,-0.1433721470016375
162,DPPT,90-1,Org,-1.979906129985721,0.0509002643467467,-2.3261577510006823,0.0751416862705251
163,DPPT,208-1,Org,0.128485216960324,-0.0269951248728933,-2.699039617550899,-0.3541086304344881
164,DPPT,272-1,Org,-0.2059734564472176,-0.1293466090536166,-3.1214545436912977,0.5136506748556756
165,DPPT,276-1,Org,-0.7532148252332704,0.1363661329400642,-0.7333792709552993,-0.0416061517098169
166,DPPT,146-1,Org,-1.154872679281435,0.6151255864720045,-0.7906568318883098,-0.1883087553585338
167,DPPT,54-1,Org,-2.2145043868085303,1.243270676065662,0.8107301838789911,-0.2865364812572217
168,DPPT,207-1,Org,0.3806389153569837,-1.4591777565451325,-0.6984729450087357,-0.7196403816448753
169,DPPT,268-1,Org,-0.737231632284483,0.5446948558843561,-1.175244035824906,-1.12817095168489
170,DPPT,266-1,Org,-0.1539546059257104,-0.0196814123143226,-2.779530207569952,-0.4018849896940228
171,DPPT,160-1,Org,-1.0749179389141856,0.9349228120698734,-1.1916749365751256,-0.1702093540625389
172,DPPT,270-1,Org,-1.884261929396564,0.8388248728267977,-0.7611079977531119,-0.6395374281117011
173,DPPT,210-1,Org,0.0700513138003265,0.133198923651905,-5.2513566879763856,-0.9506655662479142
174,DPPT,37-1,Org,-0.532713915530605,0.6471540685818321,-1.2513250169227137,-0.520656245606052
175,DPPT,87-1,IntEnh,0.0928418685192,-0.6348860896970553,-0.6217794068287272,-0.0603118822731488
176,DPPT,258-1,IntEnh,-0.3164993908711479,-0.5218277902338545,-0.2351025752286992,-0.7530058421985605
177,DPPT,270-1,IntEnh,-0.7091499249777556,-0.9351889571056043,-0.2998555667279529,-0.3801783453471895
178,DPPT,12-1,VacEnh,-0.0159944345529767,-2.728031831454484,-2.4303254450951286,1.111384623795408
179,DPPT,274-1,VacEnh,-1.8963835179649409,-0.0691718161568294,-2.3776820350373096,0.6258158271679793
180,DPPT,268-1,VacEnh,-0.9537049630871136,-0.5510195337030475,-1.904992689954888,0.0401231407339116
181,DPPT,256-1,VacEnh,-1.9607998937490967,-0.3935432421093159,-0.2921214775363472,-0.0723204183300203
182,DPPT,104-1,VacEnh,-1.011435632592593,-0.4613096690134092,-2.4731431427073582,0.4688941874682324
183,DPPT,130-1,VacEnh,-0.1262154563592037,-2.766368523457384,-1.9354375416741385,1.0615900728720744
184,DPPT,208-1,VacEnh,-4.064696182961027,0.0993974863466865,-1.8963346447799967,0.1489702042747343
185,DPPT,15-1,VacEnh,0.0055992159492011,-0.1548065002224561,-2.529515970182908,0.5750087889199363
186,DPPT,261-1,VacEnh,-1.9301749971368591,-0.2501389541099927,-0.4338383583534594,0.8519065775944847
187,DPPT,188-1,VacEnh,0.2370207211333549,-3.9452178621256415,-0.9485584052587877,1.0095755209080186
188,DPPT,198-1,VacEnh,-5.167310048760427,0.2312034650621424,-0.7368759118482249,0.0779685096370784
189,DPPT,56-1,VacEnh,-1.2786999138455184,-0.3048364627171309,-0.8889655486095897,0.8934749643841686
190,DPPT,1-1,VacEnh,-0.0323043564614122,-0.0282283980395212,-4.114849991024052,0.7694922654705793
191,DPPT,134-1,VacEnh,0.1397530080911852,-0.8872242131813254,-3.1651480712597,0.4858580995769388
192,DPPT,133-1,VacEnh,-0.1379543535757751,-0.6509451937200927,-1.2412390332727818,0.4028335456903342
193,DPPT,257-1,VacEnh,0.1479433607468012,-2.9796089050962755,-2.5821397599090306,-0.1005883242514468
194,DPPT,209-1,VacEnh,-1.5030280668370868,-0.0719686355104375,-1.2827259928659964,0.1801563997156018
195,DPPT,132-1,VacEnh,-1.7562035727491012,-0.2370983262762755,-1.5065353512620947,0.8663669975998094
196,DPPT,181-1,VacEnh,0.2433239701406566,-0.7816674923321952,-0.7229326245228908,-0.2652195762149133
197,DPPT,210-1,VacEnh,-2.72429026242545,0.2958636512437385,-0.9464172777785106,0.1006126760797129
198,DPPT,64-1,VacEnh,-0.520771795259875,-0.4493942077660204,-1.7094681398530902,-0.2045410784576242
199,DPPT,211-1,VacEnh,-0.5429110886187942,-0.7866544654735927,-2.264198764333452,0.7898957098142104
200,DPPT,147-1,VacEnh,-0.8779257095089391,0.2401263909147913,-2.669277869066188,0.2908159749790421
201,DPPT,100-1,VacEnh,-0.4755081178496904,0.6952418823389861,-1.5346341340148388,-0.3642872593788777
202,DPPT,255-1,VacEnh,-0.003810748159649,-1.622925263954582,-2.3264702323658013,-0.0030649407160778
203,DPPT,266-1,VacEnh,-2.534715630463941,0.0493553883640704,-0.7530617605228128,0.0762774130542611
204,DPPT,186-1,VacEnh,-0.2212588663918269,-0.2095545402509591,-2.1637857935499736,0.208632773787904
205,DPPT,242-1,VacEnh,0.5991680128451478,-2.781130808484733,-0.9606432715596348,-0.4938800700141452
