,Models,Bulk_E_free,Bulk_heat_capacity,Bulk_entropy,Vacancy_E_free,Vacancy_heat_capacity,Vacancy_entropy,Vacancy_E_f,Split_E_f,Tetrahedral_E_f,Hexagonal_E_f,Vacancy_D_0,Vacancy_E_a,Interstitial_D_0,Interstitial_E_a,Lattice_const_A,C11,C12,C44,Bulk_modulus,Vacancy_RE_Magnitude_ROC,Vacancy_RE_Angle_ROC,Interstitial_RE_Magnitude_ROC,Interstitial_RE_Angle_ROC,Validation_E_RMSE,Validation_F_RMSE,EnhInterstitial_E_RMSE,EnhInterstitial_F_RMSE,EnhVacancy_E_RMSE,EnhVacancy_F_RMSE,Train_E_RMSE,Train_F_RMSE
13,GAO191-5,-0.8170865258345437,-0.9314634944402908,-0.7961676064264069,0.7525779339829778,0.1978556814683043,0.9104373108817412,-0.5684102607395791,0.0159712451367492,0.330981953045112,0.174264157682233,-2.322274200347343,-1.6989700043360183,0.1617433380069353,-0.2006594505464183,-0.8227730450448726,1.7686999190547843,1.658317892995529,0.9837573143361528,1.6954018714173436,-1.0965383446225945,-0.9879721635411663,-0.677956000720288,-0.6152123778823683,0.9769409512267384,-0.9108626939418528,1.0318253454559412,-0.9366086713573358,0.6494688083578697,-1.0380867821020074,0.4864978703809871,-1.044736960137977
14,SNorg,-0.8994417337297012,-0.4099578541905398,-0.3863099187446697,1.185717383121791,1.0155598762678204,1.5186364599863886,-0.0495833595641834,-0.0763506628136208,0.3086698838429717,-0.0117275746639296,-1.1241214791216956,-1.3979400086720375,0.1259603025630072,-0.3767507096020995,-1.011705242795769,1.4446731132193344,1.0160887514758885,0.7117572022164111,0.3071707003675389,-0.7951369983742929,-0.9093216924388884,-0.6651715486963351,-0.598735794012199,0.9137181144321156,-0.5937388901613038,1.0016298021088967,-0.6790779995759191,0.860533104776909,-0.6866775945451531,0.9087460951519007,-0.6568623427468124
15,MTV133-9,-1.5336181685974806,-1.0631248528983146,-1.0287165036674557,0.8407262002924288,0.3418250872578442,1.0879989038172102,-0.1507259534627958,-0.6944650702856214,0.0071186013426988,-0.226014314798281,-1.1149060414954786,-1.5228787452803376,-0.835266453659951,-1.2218487496163564,-1.113577578921919,1.3578177591619975,0.7814138817848421,1.1620039486794,1.0528778165144308,-1.1249387366082964,-1.1059268313274366,-0.7495937824106602,-0.7377634892724995,0.7531474800590428,-0.8928985980117377,0.7873021447077198,-0.9537689034508858,0.7599660654868069,-1.0397938297387137,0.9257909564672856,-0.9352943940915056
16,MTV198-14,-0.5202797282165805,-1.0388192912086636,-0.3015529912922218,1.175988155214243,0.5821979372627348,1.3741266978147924,-1.1133651153347732,-0.2057730364715104,0.197798015341626,-0.1989009741470059,-1.7801325189359998,-2.0,-0.2640101763186889,-0.6777807052660807,-1.629473949475123,1.1748683918649734,0.3004782810454791,0.5574714793501925,0.7770095450707908,-1.3058156582147913,-1.2354451655404932,-0.8158862805837221,-0.6811823539802154,0.9477879880823884,-0.8366233402618388,0.9757854933069666,-1.0367149033827956,-0.2943417047313513,-1.2546085320422735,0.6216722570446553,-0.8705161170430135
17,MDI181,1.1087725965128576,1.2442563283248225,1.511596581676046,2.589773809048493,2.6143559095703464,2.931172142768487,0.0060599352074818,-0.5259256841576399,0.3055713493502689,-0.6612251125172821,-0.2094709333402804,-1.0969100130080562,-0.8403229648837572,-0.7695510786217261,-1.2071661076836635,5.249733832861749,4.795486262331341,3.958502710674408,4.633504818429842,-0.7755414423109128,-0.7248622653947542,-0.6993996039433401,-0.6269008952181805,1.4076611187488397,-0.5477712815720205,1.1583313812999956,-0.8941068533978158,1.1782610130681523,-0.7248540000860888,1.5244293489536476,-0.5117805400469058
18,GAV280-5,-0.1494208295677681,-0.6360192091091778,0.07349641747765,1.2221744070410023,0.8320189610509645,1.4834354960529237,-0.4031814503396914,-0.092840325383241,0.2840180672814198,0.0808236910222742,-1.3027927356374922,-2.000000000000001,-0.0230573742261576,-0.4436974992327127,-1.4860051185104006,1.7117491094611847,1.4199453830171629,0.9539974752820942,1.536103747867111,-1.1591723432806538,-1.122960170626216,-0.7005062439354204,-0.6378989442217516,0.8511484741712106,-0.8929635775752008,0.8708749873387096,-0.9700598585392513,0.4426196609308358,-1.1095853107169145,0.6478896546079486,-0.9445450296535608
19,MDI89,1.065194783973692,1.2349245852624744,1.4848876767852448,2.5369052100273155,2.5858645860920983,2.8932715805681317,-0.3676436860721193,-0.2337140011037515,0.3260491982756014,-0.9352013710734276,-0.3561149831636817,-1.0969100130080562,-1.2464362693674145,-0.744727494896694,-1.0482549058046875,2.8868993926282824,4.322665009860069,4.348310872970306,3.604649898684322,-0.7004598667985295,-0.714720205314363,-0.7117937342245805,-0.6910679973063583,1.2142329192565913,-0.4258823453816466,0.9032716965441936,-0.8072822337857584,0.9740181609645978,-0.647578751443296,1.2511658569743658,-0.3678713499781485
20,GAV286-5,-0.0407501585251036,-0.551040692806195,0.1651184091603156,1.2713355702922096,0.7258472919731157,1.4745612188134432,-0.4021433809050495,-0.1624494339852299,0.2139384040583905,0.0209534067241767,-1.0228009439283312,-1.6989700043360183,-0.2115219049408632,-0.6777807052660807,-1.100363737730064,1.6459762443430088,1.608873502967638,1.0339536568995935,1.6181225206030327,-1.189380861486364,-1.1341580704276888,-0.7038431843738417,-0.6257074213702842,0.7908594782600848,-0.9073718028961042,0.808087253690633,-0.972959091098137,0.4144587048900809,-1.1313855472455403,0.6520977659381452,-0.9560448331318137
21,PTI151,1.0005131358819843,0.4799450318499304,1.0988511982284046,2.3158589090015,1.7291411781914203,2.448627438256027,0.0474448928549178,0.0764055809175,0.1214716408733655,0.1177402733501318,-0.4771402372873693,-1.0,-0.5002318575198157,-0.7695510786217261,-0.6925645686637587,2.6462394424175475,2.4538344538747974,1.7968077216711835,2.4479426031593787,-0.776785076367248,-0.7315438507512694,-0.6693913549599364,-0.6167832481486687,1.8669179723854856,-0.5523911207368175,1.6439263882466526,-0.8393062066025458,1.6473507492724977,-0.783755855608114,1.9546396975507492,-0.5008080451758139
22,MTV114-13,-0.3579671786561691,-0.8696621213795142,-0.1431873209940874,1.225518165241406,0.6455278764540938,1.4234628372610838,-1.1486264098554504,-0.3167106894835698,0.2101911970810747,-0.1705480154716732,-1.0297552476675034,-2.0,-0.0120828141145908,-0.3979400086720376,-1.8604066491088511,-0.5953608343153567,0.8189143320836056,0.0470174631439268,0.6822884323891247,-1.2569414950098452,-1.2364694454537395,-0.8327494361297498,-0.6781313669580445,0.8544053106053839,-0.9157180894931818,0.908622613218224,-1.0260578182066944,-0.1498230231415737,-1.1956464498414898,0.5329703200241163,-0.950378451861014
23,GAI286-5,0.0978270230402914,-0.4056870956186011,0.2970012032861568,1.5731566448699057,1.1490200349598538,1.8083503538670036,-0.1056310215614159,-0.1865362249233287,-0.0195824105217316,-0.2763186978552954,-0.8466648739227414,-1.5228787452803376,-0.326209241069144,-0.9586073148417747,-0.49163056411989,1.6158697506107684,1.6684454401639128,1.1781829505181134,1.6483775265989573,-1.080492054917861,-1.0244737693832031,-0.8808970240930551,-0.8482995448807683,0.6646713221652154,-0.932389864782467,0.5251392478272567,-1.1100239936555345,0.5868479759320855,-1.0663454454731112,0.8120313875827182,-0.9504833879374708
