,Models,ModelName,SelectionType,TrainingData,hex_Ef,spl_Ef,tet_Ef,vac_Ef,spl_c11,spl_c12,spl_c44,spl_bulkmodulus,tet_c11,tet_c12,tet_c44,tet_bulkmodulus,hex_c11,hex_c12,hex_c44,hex_bulkmodulus,super_c11,super_c12,super_c44,super_bulkmodulus,vac_c11,vac_c12,vac_c44,vac_bulkmodulus,hex_a,spl_a,super_a,tet_a,unit_a,vac_a,L1_frequency,L1_mean,L1_max,L2_frequency,L2_mean,L2_max,L3_frequency,L3_mean,L3_max,L4_frequency,L4_mean,L4_max,Interstitial_RE_A,Interstitial_RE_M,Vacancy_RE_A,Vacancy_RE_M,Interstitial_enhanced_E,Interstitial_enhanced_F,Interstitial_RE_E,Interstitial_RE_F,Vacancy_enhanced_E,Vacancy_enhanced_F,Vacancy_RE_E,Vacancy_RE_F,bulk_free_energy,bulk_entropy,bulk_heat_capacity,vacancy_free_energy,vacancy_entropy,vacancy_heat_capacity
1336,MTP,170-12,r,IntEnh,-0.7450391455936646,-0.3484498389921115,-0.2624239431363509,-0.4292036405394659,-0.485636768189604,-1.5282626818519804,-0.8053655293987714,-0.7121299073751487,-0.3637556478449104,-0.464738117094607,-0.3447652782812886,-1.6073150807903616,-0.6105199826436503,-1.169714964537195,-0.5524813677679569,-0.7810649422341746,-0.6102275614961205,-1.2990173855940883,-0.642696838343569,-0.7870903119541216,-0.5277207707730924,-0.5916603626699258,-0.8020309696279612,-0.4893271979322714,-1.638683471627782,-4.082761935401425,-0.1561183616953031,-0.4762012397524766,-0.267335472798124,0.243522790348497,-0.1341168442870142,0.1544604903229096,0.1408125396870211,0.2301346731519812,0.2329179430126894,0.0866774675523255,0.0817711261623517,0.1370383613419942,0.0717929907460502,-0.0340815323787719,0.0296809334743227,-0.1466207634053271,-2.437101546328284,-2.914421520343648,-1.3883475867938375,-1.3479345135118508,-1.80873544445264,-1.993690797523292,-1.722018242481928,-2.3891652670870727,-1.328927243779077,-1.545823782205916,-0.9913636605944952,-1.5320112969433723,-0.5512829331080775,-0.5660778361956116,-0.8284065859162868,-1.828843469312045,-1.6154910595752148,-1.1849047403124695
1337,MTP,354-12,s,IntEnh,-1.4489338442216717,-1.4890351928512278,-0.7551359656338928,-0.7433859263667404,-0.7730901607174507,-0.6384662863093089,-0.8500427283330891,-0.5571204603530353,-0.172180434407297,-0.7425111292074985,-0.3227150783574022,-0.391908618140884,-0.4333621292934986,-0.6219187351976936,-0.7377583886033374,-0.4625500399207075,-0.5861749557701648,-0.6887777381497195,-1.433485547157072,-0.5695041611196355,-0.4243941798744396,-0.5540248323867489,-1.2657384238284712,-0.4198507494952919,-0.828244833956525,-1.7334056279996353,-1.6450505433108138,-0.2266412454534813,-2.247264297702257,-0.0748319454940368,-0.1079347042279789,0.1898346089481935,0.1408125396870211,0.1623082258643454,0.2624459612775049,0.0866774675523255,0.1173850181383877,0.183392454979391,0.0717929907460502,0.0583297200250913,0.1867027728686421,-0.018082478762898,-2.4670876680118954,-2.877778993698549,-0.9376973968228888,-1.2638302145889064,-3.292656132739088,-2.011138877770492,-2.185693531376381,-2.3971512406116395,-1.5198235120828123,-1.4402975918573817,-0.6417483784396707,-1.35761288632168,0.0662124854827309,0.0033298166642852,-0.2894292551012833,-0.1343408249474246,-0.196844519273398,-0.4520996096385943
1338,MTP,204-12,s,IntEnh,-1.4611673307460966,-1.410942321946875,-0.7140462774473949,-0.756257986845882,-0.7975893358977632,-0.6905191621493719,-0.8070905678031697,-0.5908071265340744,-0.1742728902978223,-0.6866499758323242,-0.3139324226322827,-0.4157682594965819,-0.4448147745523931,-0.6719658781180694,-0.8709239784530439,-0.4979125514947207,-0.6052104235218279,-0.7473260841581248,-1.5953145096068573,-0.6103104256663482,-0.4963465825643929,-0.6727788547629504,-0.5356041780722561,-0.5223622987839236,-1.020778917820802,-2.316798213709886,-1.552880646666512,-0.3033074023342737,-2.069139931162951,-0.1194655713829449,-0.0635240275109186,0.1983583538236605,0.1408125396870211,0.219128330618825,0.3004252272360904,0.0866774675523255,0.096148455967351,0.1603792842825596,0.0717929907460502,0.0583297200250913,0.2111956355667247,-0.018082478762898,-2.571417000345648,-2.8609767020232395,-1.0809934871529496,-1.383574891776395,-3.2668362722901367,-2.007966977964386,-2.162856923690338,-2.422766791923616,-1.5886926501579282,-1.4680767439085305,-0.7296240491928146,-1.4526492135934828,0.0641320541481221,-0.0014724600148359,-0.2915678169273552,-0.1243115632501777,-0.1914353285660224,-0.4371821449586767
1339,MTP,360-4,r,IntEnh,-0.2337622601402534,0.6823255604414911,0.8649692017803143,0.4858991132105986,-0.1697592376685509,-0.3937422451213396,-0.5573391643575107,-0.181906093639112,-0.0087591561490994,-0.9839770513767844,-0.2548142145602174,-0.1208773397548227,-0.0166476755497189,-0.5190218713061496,-0.5894723068457757,-0.1587323533606582,-0.4571188963623189,-0.448316778287041,-1.2717289620137926,-0.3690919064156537,-0.2123150163546444,-0.4000826366685842,-0.5529565599022528,-0.2265730492887327,-1.1040107517820432,-1.305439147465362,0.3070830669298804,-1.19157459489279,0.2624619587157785,0.6319228702938294,0.0489140399303466,0.2880233685311361,0.1408125396870211,0.4778840090644339,0.3219617861127445,0.0866774675523255,0.1587237041402555,0.1914556823515228,0.0717929907460502,0.271512457992812,0.1848053526538241,-0.018082478762898,-0.2368385974778622,-0.1205516411561979,0.2739997076940151,0.2520962534530679,-0.68106311115365,0.1178323241704508,-0.4421219225572446,-0.3327265823153129,-0.3880490158308777,0.2223672263138972,-0.0489232707366688,-0.0071613511876274,0.6428983216838109,0.5326639539523578,0.2581948025870174,0.694837983969466,0.5868495414759285,0.3377591282416061
1340,MTP,304-13,r,IntEnh,-0.1848071423428797,0.2527539168909642,0.0002043798325582,-0.337099851259183,-0.829904035163903,-0.6592187864683934,-0.3334333194987475,-0.8230061781194197,-0.3410057032801681,-0.550583270135735,-0.5129405785699159,-0.9009302056029282,-1.853684524423875,-0.8062265909540041,-0.2765614385955967,-0.9009070001637188,-1.632016306039734,-0.6609723922081686,-0.466111311212001,-0.7599456291605095,-1.1283138420783865,-0.7747711615187368,-0.3801586709362348,-0.7907120671985268,0.1416415378087968,0.0845975733919797,0.3660155232969936,0.3499273769376482,0.3248561294866698,-0.2427696064747355,-0.2976829475854019,-0.706017808407563,-0.3442124689174503,-0.4752196988510784,-0.5241208898104498,-0.5646346172848555,-0.1674795920283549,-0.0748249511057617,-0.2275333841994806,-0.3431262245076834,-0.1051385082800208,-0.1466207634053271,-2.659132427130932,-3.1986684498535305,-1.0965551486877982,-1.0664112173401856,-0.801781187771766,-1.978456198297222,-1.3226112674443768,-2.558740237354149,-0.5852289412986437,-1.447146973281598,-0.8949467642784302,-1.1651984140207643,-1.04723473096383,-0.8982028023482558,-0.9011813605665157,-0.4988587373661443,-0.4887772954748297,-0.7451496494607236
1341,MTP,271-13,s,IntEnh,-0.0934768437471327,0.2529166276769938,0.0422962388265902,0.0606760205421873,-1.036540551138795,-0.6716812875511731,-0.7788798860347308,-0.7551633110797099,-0.2731193903799151,-0.5550682316462798,-0.3840359195299476,-0.6944637644136535,-1.3369381812347347,-0.9190843901895526,-0.3791163115034473,-0.9963759677742908,-1.007245503452675,-0.7224275390702736,-0.6744994668174128,-0.7381436589384051,-0.8394909335723757,-1.6626781347542137,0.0369965424526537,-1.0857405303536645,-0.6803099341766656,-0.8220880237242109,-0.4020189311092983,-0.1594745595472863,-0.4765068648755276,-0.6267878428366651,-0.5638232303272089,-0.1833336304746277,0.1408125396870211,-0.4967836989222005,-0.4020413848784727,-0.4624946945856084,-0.4279821718384011,-0.1269892543534163,0.0173684379220463,-0.671458135269973,-0.4259683413150781,-0.3464671338234346,-2.6253043385677186,-3.3093776310938545,-1.3854332938050538,-1.2666840899100107,-1.4450162858340865,-2.3860386699997296,-1.3420153845431473,-2.678688660642708,-1.1381424787679184,-1.7198360940276136,-1.1209408922659196,-1.291421464653919,-0.6625972659981174,-0.6621144188672017,-0.9539720403818256,-0.7296341047264895,-0.7490433373402069,-0.9985796698361632
1342,MTP,239-11,r,IntEnh,-0.3610512541363799,-0.1671697190366445,-0.0567363660942949,-0.5408441935831229,-1.67749905678513,-0.4984832892591141,-0.5833790689173711,-0.5330234453948796,-0.2655292563791301,-0.7742923683579687,-0.3718274091769182,-0.5038559019179047,-0.7845331409505699,-0.6256824025911158,-0.5531300317366804,-0.59593364507361,-1.2482964934891057,-0.6272840487314143,-0.578683330612244,-0.7458480947174342,-0.7172467210327267,-0.5393234076748193,-0.3749367947809978,-0.5119648638798863,-0.3271531928589049,-0.5107061353864739,-0.0688701375831708,0.0327809568620355,-0.1327201412607996,-0.2233436857297377,-0.2094049807609935,-0.7521498757553916,-0.3442124689174503,-0.3832835363087226,-0.605311332516754,-0.5646346172848555,-0.0242050961167853,-0.288936632679228,-0.2275333841994806,-0.1250359715711016,-0.4647862215466007,-0.1979429428794194,-2.21078986927922,-2.416426774260837,-0.880879784053915,-1.0401761394750229,-1.29925212924047,-1.6005790435716731,-1.4177703131243982,-1.9884607266739565,-0.9787580900822462,-1.2094685679528396,-0.8253043885502159,-1.2204529144621674,-0.4042639972302966,-0.418598077656941,-0.6771754459994588,-0.1906283362716971,-0.2392438099513715,-0.5001184490243802
1343,MTP,47-13,s,IntEnh,-0.8009662633303453,-0.6222588303280774,-0.4555894489573505,-0.407724524661274,-1.2793796396803585,-0.5833036278457525,-1.3730906278749997,-0.5526911240712568,-0.2205748635233957,-0.6504252877763549,-0.3816442146497326,-0.5021313464667109,-0.6542605331504459,-0.6922124537886952,-0.3800594674170102,-0.6047967795328879,-0.6670188013747482,-0.6616612191982699,-0.9857826777154785,-0.5897234720464388,-0.6763815995600502,-0.6531442451423402,-0.0098843752799444,-0.5871901971411657,-1.1159541688474472,-1.5640895182478087,-0.8753601779316894,-0.3368835686493457,-1.1002102213831222,-0.0317342458488079,-0.4620764729947556,-0.1972428557263583,0.1391726597683329,-0.4130488660089937,-0.2091872777181062,0.0138517472464779,-0.0894257401060785,-0.0086663321235001,0.0173684379220463,-0.3093328563756899,-0.2172168788681966,-0.3464671338234346,-2.571417000345648,-3.204741285555244,-1.074537306443079,-1.2954021285618065,-2.546085571122151,-2.311037380890005,-1.9185036884976008,-2.608181572543615,-1.439810448918784,-1.628496032759208,-0.6786720834940245,-1.2731535584335194,-0.0958912474000766,-0.1580689394561031,-0.4416169586741707,-0.3289508896331824,-0.390232538852365,-0.6088399737644599
1344,MTP,219-2,r,IntEnh,1.4124638704396275,1.7855821783842882,1.3852811909724136,1.6346287080065127,0.2611084891755,0.0043820751957512,0.196308921816944,0.3028998738061026,0.0520028260847598,0.0086760865968568,-0.6690469449622868,0.2038865379182271,0.3154967008036733,-0.0285699343556682,0.2094755189433249,0.2667141478928811,0.0540055380552941,-0.2293953413683009,0.0406264399937734,0.0110711908376049,0.0125652442374571,-0.2550991803162317,-0.0252413559721984,-0.0255922410939099,1.0502290026635788,2.306206841184184,1.5711492878864155,2.5549027144173726,1.6123387582411484,2.155645940763544,0.0601252910069748,0.18587236491123,0.1408125396870211,0.4735447860089228,0.3186536875087402,0.0866774675523255,0.1103493723636105,0.1864180076949502,0.0717929907460502,0.3239998743708454,0.5202603574331144,0.9344102955904818,2.642147600675888,2.2350170432529244,3.4696216155602464,2.945549761392692,1.87220394684684,4.0263061508660405,2.8767898650159527,2.301943643259807,1.841534977065744,3.7075836855686624,2.5190627468549773,3.364987514941146,1.310386413201258,0.6642261616571713,1.6001122585512184,1.1757601227047594,0.6902685770937131,1.6088488394342726
1345,MTP,171-12,s,IntEnh,-1.6085781618028936,-1.0946041707981595,-0.6997265965110584,-1.173769650621239,-0.5043152930762015,-1.0236570415265585,-1.3539436628988075,-0.6509464624172563,-0.34149287668162,-0.4423160637579956,-0.3214825609045297,-1.5209483552557936,-0.7103478732669801,-0.9951231964011328,-0.75117981786933,-0.7859968144582749,-0.6274435844640812,-0.9863958284001418,-0.785893731692068,-0.7262566334231618,-0.5174508531280158,-0.6193173907546917,-0.5426511371112658,-0.5020592861193676,-1.0101383630595036,-1.8669373571408288,-0.4192116568587974,-0.2993892165600486,-0.5634805800794693,0.2771187808659067,-0.0760360565691626,0.1616789987135066,0.1408125396870211,0.3092189043443406,0.209357281982842,0.0866774675523255,0.1519356485184798,0.1484103319687485,0.0717929907460502,0.0420685453336648,0.117022439601556,-0.1314261651455458,-2.3697922432528,-2.872170588054046,-1.151779020327735,-1.2046339374937736,-2.889687060844178,-1.8854673433179736,-2.130279271954757,-2.371610692695817,-1.6723621730582332,-1.4621315359333806,-0.9168951585400216,-1.3439972060641845,-0.3002966064532277,-0.3414013005447601,-0.6107706778173252,-1.5183237871845383,-1.0902589702750318,-0.4228220091088386
1346,MTP,357-10,s,IntEnh,-0.5985882497591449,-0.6156940772205477,-0.0410454707273375,-0.3549409512468683,-0.8630521623933565,-0.5912920234432683,-0.6209009738023278,-0.5929656509957671,-0.1954174726515835,-0.6665892131727551,-0.296286057467613,-0.4551142725881525,-0.6347398592308064,-0.7587818542647847,-1.222542386787243,-0.6458637777874152,-0.7680870817623369,-0.626920576698914,-1.5279292761219616,-0.6016120772284362,-0.5168037863988655,-0.5795116929033314,-0.310565034553458,-0.4765531185047182,-0.8669634185717301,-1.680903137316871,-1.0174097185611852,-1.587737801446392,-1.2781537816087298,-0.0537726703328374,0.0489140399303466,-0.0520135803412309,0.1408125396870211,0.219128330618825,0.1975182246963024,-0.0626703786153368,-0.4506762355352449,-0.2027099616999797,-0.399707405362036,-0.3317515086863959,-0.1714609745943021,-0.1466207634053271,-2.087432751800612,-2.109665873429596,-0.9242860621375772,-1.215802668441828,-2.544743986637396,-1.4314695110849966,-1.7174535595272118,-1.811601251020933,-1.6034357203511835,-1.0857995435363312,-0.8408684879696673,-1.3738022531624323,0.2334509632106411,0.1483805033867052,-0.1274280752868183,0.0772104275673709,-0.0116912803283751,-0.2405195930957977
